model,threshold,precision,recall,f1,tp,fp,fn,tn
qwen3-embedding_latest,0.97,1.0,0.0145,0.0287,36,0,2439,2000
qwen3-embedding_latest,0.98,1.0,0.0016,0.0032,4,0,2471,2000
qwen3-embedding_latest,0.99,0.0,0.0,0.0,0,0,2475,2000
snowflake-arctic-embed_latest,0.5,0.8582,1.0,0.9237,2475,409,0,1591
snowflake-arctic-embed_latest,0.51,0.8672,1.0,0.9289,2475,379,0,1621
snowflake-arctic-embed_latest,0.52,0.8786,1.0,0.9354,2475,342,0,1658
snowflake-arctic-embed_latest,0.53,0.8887,1.0,0.9411,2475,310,0,1690
snowflake-arctic-embed_latest,0.54,0.898,0.9996,0.9461,2474,281,1,1719
snowflake-arctic-embed_latest,0.55,0.9075,0.9992,0.9512,2473,252,2,1748
snowflake-arctic-embed_latest,0.56,0.9193,0.9992,0.9576,2473,217,2,1783
snowflake-arctic-embed_latest,0.57,0.9293,0.998,0.9624,2470,188,5,1812
snowflake-arctic-embed_latest,0.58,0.937,0.9972,0.9661,2468,166,7,1834
snowflake-arctic-embed_latest,0.59,0.9423,0.9968,0.9688,2467,151,8,1849
snowflake-arctic-embed_latest,0.6,0.951,0.996,0.973,2465,127,10,1873
snowflake-arctic-embed_latest,0.61,0.9584,0.9956,0.9766,2464,107,11,1893
snowflake-arctic-embed_latest,0.62,0.9639,0.9931,0.9783,2458,92,17,1908
snowflake-arctic-embed_latest,0.63,0.9676,0.9907,0.979,2452,82,23,1918
snowflake-arctic-embed_latest,0.64,0.9713,0.9859,0.9785,2440,72,35,1928
snowflake-arctic-embed_latest,0.65,0.9755,0.9814,0.9784,2429,61,46,1939
snowflake-arctic-embed_latest,0.66,0.9789,0.977,0.978,2418,52,57,1948
snowflake-arctic-embed_latest,0.67,0.9833,0.9733,0.9783,2409,41,66,1959
snowflake-arctic-embed_latest,0.68,0.9864,0.9673,0.9767,2394,33,81,1967
snowflake-arctic-embed_latest,0.69,0.9892,0.9604,0.9746,2377,26,98,1974
snowflake-arctic-embed_latest,0.7,0.9916,0.9519,0.9713,2356,20,119,1980
snowflake-arctic-embed_latest,0.71,0.9928,0.943,0.9673,2334,17,141,1983
snowflake-arctic-embed_latest,0.72,0.9939,0.9281,0.9599,2297,14,178,1986
snowflake-arctic-embed_latest,0.73,0.9943,0.9119,0.9513,2257,13,218,1987
snowflake-arctic-embed_latest,0.74,0.9946,0.8962,0.9428,2218,12,257,1988
snowflake-arctic-embed_latest,0.75,0.9954,0.8804,0.9344,2179,10,296,1990
snowflake-arctic-embed_latest,0.76,0.9967,0.8586,0.9225,2125,7,350,1993
snowflake-arctic-embed_latest,0.77,0.9966,0.8372,0.91,2072,7,403,1993
snowflake-arctic-embed_latest,0.78,0.9975,0.8044,0.8906,1991,5,484,1995
snowflake-arctic-embed_latest,0.79,0.9984,0.7697,0.8693,1905,3,570,1997
snowflake-arctic-embed_latest,0.8,0.9984,0.7362,0.8474,1822,3,653,1997
snowflake-arctic-embed_latest,0.81,0.9988,0.6986,0.8222,1729,2,746,1998
snowflake-arctic-embed_latest,0.82,0.9988,0.6606,0.7952,1635,2,840,1998
snowflake-arctic-embed_latest,0.83,0.9987,0.6154,0.7615,1523,2,952,1998
snowflake-arctic-embed_latest,0.84,0.9993,0.5681,0.7244,1406,1,1069,1999
snowflake-arctic-embed_latest,0.85,0.9992,0.5123,0.6774,1268,1,1207,1999
snowflake-arctic-embed_latest,0.86,0.9991,0.4497,0.6202,1113,1,1362,1999
snowflake-arctic-embed_latest,0.87,0.999,0.3943,0.5655,976,1,1499,1999
snowflake-arctic-embed_latest,0.88,0.9988,0.337,0.5039,834,1,1641,1999
snowflake-arctic-embed_latest,0.89,0.9985,0.2764,0.4329,684,1,1791,1999
snowflake-arctic-embed_latest,0.9,0.9982,0.221,0.3619,547,1,1928,1999
snowflake-arctic-embed_latest,0.91,0.9976,0.1657,0.2841,410,1,2065,1999
snowflake-arctic-embed_latest,0.92,0.9964,0.1131,0.2032,280,1,2195,1999
snowflake-arctic-embed_latest,0.93,0.9945,0.0727,0.1355,180,1,2295,1999
snowflake-arctic-embed_latest,0.94,0.9895,0.038,0.0732,94,1,2381,1999
snowflake-arctic-embed_latest,0.95,0.98,0.0198,0.0388,49,1,2426,1999
snowflake-arctic-embed_latest,0.96,0.9333,0.0057,0.0112,14,1,2461,1999
snowflake-arctic-embed_latest,0.97,0.8333,0.002,0.004,5,1,2470,1999
snowflake-arctic-embed_latest,0.98,0.0,0.0,0.0,0,1,2475,1999
snowflake-arctic-embed_latest,0.99,0.0,0.0,0.0,0,1,2475,1999
